"","strain","isotype","substrate","latitude","longitude","elevation","landscape","isolation_date","source_lab","isolated_by","sampled_by"
"73","ECA399","ECA396","Rotting fruit","19.449831","-155.235493","1135.87060546875","Rural garden","2016-05-17","ECA","R. Tanny","G. Chavez"
"74","ED3005","ED3005","Compost","55.94","-3.36","40.94044494628906","Urban garden","2004-10-25","VX","A. Cutter","A. Cutter"
"75","ED3021","ED3005","Compost","55.92","-3.19","92.01382446289062","Urban garden","2004-12-03","VX","A. Cutter","A. Cutter"
"76","ED3011","ED3011","Compost","55.92","-3.19","92.01382446289062","Urban garden","2004-11-11","VX","A. Cutter","A. Cutter"
"77","ED3010","ED3012","Compost","55.92","-3.19","92.01382446289062","Urban garden","2004-11-26","VX","A. Cutter","A. Cutter"
"78","ED3012","ED3012","Compost","55.92","-3.19","92.01382446289062","Urban garden","2004-11-26","VX","A. Cutter","A. Cutter"
"79","ED3014","ED3012","Compost","55.92","-3.19","92.01382446289062","Urban garden","2004-12-03","VX","A. Cutter","A. Cutter"
"80","ED3015","ED3012","Compost","55.92","-3.19","92.01382446289062","Urban garden","2004-12-03","VX","A. Cutter","A. Cutter"
"81","ED3023","ED3012","Compost","55.92","-3.19","92.01382446289062","Urban garden","2004-12-03","VX","A. Cutter","A. Cutter"
"82","ED3024","ED3012","Compost","55.92","-3.19","92.01382446289062","Urban garden","2004-12-03","VX","A. Cutter","A. Cutter"
"83","ED3028","ED3012","Compost","55.92","-3.19","92.01382446289062","Urban garden","2004-12-03","VX","A. Cutter","A. Cutter"
"84","ED3017","ED3017","Compost","55.92","-3.19","92.01382446289062","Urban garden","2004-12-03","VX","A. Cutter","A. Cutter"
"85","ED3019","ED3017","Compost","55.92","-3.19","92.01382446289062","Urban garden","2004-12-03","VX","A. Cutter","A. Cutter"
"86","ED3020","ED3017","Compost","55.92","-3.19","92.01382446289062","Urban garden","2004-12-03","VX","A. Cutter","A. Cutter"
"87","ED3040","ED3040","Compost","-26.166667","28.016667","1630.486938476562","Urban garden","2006-05-05","VX","E. Dolgin","E. Dolgin"
"88","ED3046","ED3046","Compost","-33.366667","19.316667","456.7009887695312","Urban garden","2006-05-05","VX","E. Dolgin","E. Dolgin"
"89","ED3042","ED3048","Compost","-33.366667","19.316667","456.7009887695312","Urban garden","2006-05-05","VX","E. Dolgin","E. Dolgin"
"90","ED3048","ED3048","Compost","-33.366667","19.316667","456.7009887695312","Urban garden","2006-04-02","VX","E. Dolgin","E. Dolgin"
"91","ED3049","ED3049","Compost","-33.366667","19.316667","456.7009887695312","Urban garden","2006-04-02","VX","E. Dolgin","E. Dolgin"
"92","ED3043","ED3052","Compost","-33.366667","19.316667","456.7009887695312","Urban garden","2006-04-02","VX","E. Dolgin","E. Dolgin"
"93","ED3052","ED3052","Compost","-33.366667","19.316667","456.7009887695312","Urban garden","2006-05-05","VX","E. Dolgin","E. Dolgin"
"94","ED3057","ED3073","Compost","-1.083333","36.65","2352.160400390625","Agricultural land","2006-05-17","VX","E. Dolgin","E. Dolgin"
